,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O1,T1,0.843183804,0.185234549,0.012202634,0.114445893,0.017396068,0.102196906,Genuine
O2,T1,0.859247297,0.106346558,0.003125004,0.213641982,0.017051655,0.107497456,Genuine
O3,T1,0.848618881,0.12974385,0.006686824,0.059411091,0.017846061,0.108473761,Genuine
O4,T1,0.867164076,0.0970407,0.002018243,0.262511935,0.017393049,0.10733325,Genuine
O5,T1,0.94206699,0.033818945,0.001624617,0.297624213,0.019180101,0.10784395,Genuine
O6,T1,0.951012435,0.026814496,0.00234299,0.248028517,0.019654097,0.110083281,Genuine
O7,T1,0.927832155,0.08106683,0.008304516,0.058214583,0.023763901,0.117403626,Genuine
O8,T1,0.892237573,0.072701131,0.003660452,0.246356597,0.018727973,0.117156376,Genuine
O9,T1,0.855487735,0.064754501,0.006904646,0.188945121,0.020742095,0.115274586,Genuine
O10,T1,0.931013656,0.035632091,0.003222121,0.299637026,0.019778044,0.115637465,Genuine
O11,T1,0.880834919,0.069839248,0.008309271,0.156376786,0.020439343,0.116319052,Genuine
O12,T1,0.897395171,0.096907365,0.007503846,0.053304319,0.021523187,0.100903705,Genuine
O13,T1,0.796735268,0.179561727,0.011265953,0.085289206,0.021693703,0.145860831,Genuine
O14,T1,0.892772213,0.129042946,0.009057129,0.048921395,0.018530474,0.122681204,Genuine
O15,T1,0.85499801,0.240556782,0.018883228,0.079709436,0.017306471,0.129753318,Genuine
O16,T1,0.835922634,0.219926322,0.012230961,0.091151813,0.016672379,0.120248978,Genuine
O17,T1,0.860957825,0.14544835,0.011196032,0.055665889,0.024721072,0.117509252,Genuine
O18,T1,0.947856168,0.029192097,0.002605547,0.312870916,0.019426322,0.109663324,Genuine
O19,T1,0.919745113,0.166849919,0.012210599,0.058298932,0.017125462,0.096947159,Genuine
O20,T1,0.877605994,0.05644824,0.00480609,0.297776071,0.020145581,0.117553717,Genuine
O1,T2,0.919049707,0.058347295,0.003662645,0.263130388,0.035342205,0.165053639,Genuine
O2,T2,0.86869549,0.062198576,0.00406731,0.332380325,0.032569158,0.170640353,Genuine
O3,T2,0.913472679,0.056901419,0.002295302,0.282629279,0.023890935,0.07816514,Genuine
O4,T2,0.819297396,0.131654067,0.008211294,0.05047593,0.023327554,0.123887713,Genuine
O5,T2,0.97051989,0.016119742,0.001548659,0.23502585,0.035893061,0.160187298,Genuine
O6,T2,0.960472154,0.0186215,0.002715988,0.297179624,0.036477521,0.168126506,Genuine
O7,T2,0.919160474,0.138141858,0.015329526,0.084709556,0.057349421,0.178454975,Genuine
O8,T2,0.910479642,0.043058387,0.00659255,0.061421399,0.03921215,0.17320789,Genuine
O9,T2,0.950820716,0.022033444,0.001877701,0.273956497,0.036083434,0.159784512,Genuine
O10,T2,0.967269535,0.016963812,0.003074708,0.294896982,0.035918728,0.162551527,Genuine
O11,T2,0.909183222,0.037497139,0.005510991,0.229917841,0.035342601,0.163833933,Genuine
O12,T2,0.936013805,0.02215427,0.002472649,0.310034525,0.035589901,0.161688528,Genuine
O13,T2,0.942083216,0.032239724,0.002086904,0.197278995,0.035310844,0.161298976,Genuine
O14,T2,0.886747189,0.052708546,0.002261737,0.339904482,0.03359122,0.161344808,Genuine
O15,T2,0.816501761,0.283406671,0.0161345,0.100826517,0.033614523,0.155918628,Genuine
O16,T2,0.815654495,0.295215982,0.022186861,0.157902233,0.0291401,0.15327971,Genuine
O17,T2,0.897511029,0.084598138,0.012307206,0.100914692,0.044666693,0.167652922,Genuine
O18,T2,0.953310726,0.040465004,0.002824681,0.248028842,0.037128563,0.158767148,Genuine
O19,T2,0.886130427,0.135185924,0.012022326,0.065217621,0.028689694,0.139296447,Genuine
O20,T2,0.931881483,0.0414685,0.004681823,0.26116577,0.037644139,0.174397914,Genuine
O1,T3,0.877807514,0.170826484,0.014715576,0.072166013,0.03073531,0.108064343,Genuine
O2,T3,0.90345252,0.073641419,0.003352883,0.278111323,0.028080315,0.09496338,Genuine
O3,T3,0.892936064,0.068172925,0.003053168,0.204865638,0.028640554,0.095894822,Genuine
O4,T3,0.883173321,0.064712499,0.001984692,0.278592121,0.028564552,0.093846005,Genuine
O5,T3,0.97190885,0.017383324,0.001430524,0.269191792,0.028988431,0.094011452,Genuine
O6,T3,0.963100941,0.017033882,0.001977241,0.309700255,0.029584056,0.094255976,Genuine
O7,T3,0.92633535,0.117813253,0.010531531,0.057318137,0.029729511,0.092972111,Genuine
O8,T3,0.837815186,0.197577465,0.016707771,0.133432061,0.025953213,0.105135412,Genuine
O9,T3,0.940829658,0.04295286,0.002844048,0.219930298,0.028365284,0.09490935,Genuine
